meeting_date,meeting_type,meeting_title,prepared_by,pwc_update,hkn_update,others_update,performance_headline,action_items,next_steps,adhoc_notes
2025-04-13,Weekly,Merlin Intake Last Mile – 13th Apr,Team,"Demo cancelled Friday postponed Monday due to Create Invoice API & slowness. PwC UAT until Friday.","Prod readiness checked. Slowness persisting. COA logic changes needed.","Outokumpu SEQ WATER Confie Ahold Stanmore TKC CBC STE Tata Play updates.","Create Invoice 90-120s optimised. Create draft PR 40-50s. Generic fetch 30-40s. LiteLLM issues ongoing.","Further action on identified tools|Generalising PwC & HNK changes|Language adaptability readiness","PwC UAT until Friday","HKN Policy at OpCo level. Tool configurability in discussion."
2025-04-08,Weekly,Merlin Intake Last Mile – 8th Apr,Team,"Good UAT feedback. Faster flows. Pending: Incorrect Supplier prefilled chat bar duplicate calls Policy deviation backend IDs PR not submitted.","Cost Booking accuracy 80%. Slowness persisting. COA Prediction enabled on Staging.","NTUC 2FA and Recall requirements. Multiple customer updates.","PwC L0 84% HnK L0 100% L1 64%.","Generalising PwC & HNK changes|Language adaptability readiness","PwC UAT until Friday","HNK Policy Tool configurability in discussion"
2025-03-31,Weekly,Merlin Intake Last Mile – 30th Mar,Team,"4.0 on hold MPR. Invoice prefill fixed. MPR continuation POC in progress.","Cost Booking handed over. Accuracy improvement WIP.","Filtering agent applied Track & Approve. SEQ WATER Confie prod 18/03.","PE_ADD_CART_ITEMS track_pr fetch_purchase_type optimised.","Status update call with PwC|Load testing reports","Filtering agent certification pending","TKC enablement ETA 03 Apr"
